index,time,phi_deg,dV_dphi,stable_root_count,branch_exists
784,7.840000000000001,84.11859216674844,-0.31336642804911746,1,1
785,7.8500000000000005,84.11859178527848,-0.31303665645324036,1,1
786,7.86,84.11859216674799,-0.31270750227081356,1,1
787,7.87,84.11859178527803,-0.3123789613158561,1,1
788,7.880000000000001,84.11859216674753,-0.3120510305200583,1,1
789,7.890000000000001,84.11859178527757,-0.311723694758244,1,1
790,7.9,84.11859216674708,-0.3113969531396081,1,1
791,7.91,84.11859178527712,-0.31107080762728617,1,1
792,7.920000000000001,84.11859216674662,-0.3107452524557231,1,1
793,7.930000000000001,84.11859178527666,-0.31042028888006834,1,1
794,7.94,84.11859216674617,-0.3100958739896115,1,1
795,7.95,84.11859178527621,-0.30977204526396057,1,1
796,7.96,84.11859216674571,-0.30944881121915974,1,1
797,7.970000000000001,84.11859178527575,-0.3091261743619838,1,1
798,7.98,84.11859216674526,-0.30880411725925283,1,1
799,7.99,84.1185917852753,-0.30848264097168077,1,1
800,8.0,84.1185921667448,-0.3081617624956827,1,1
801,8.01,84.11859178527484,-0.3078414823889002,1,1
802,8.02,84.11859216674435,-0.3075217940235973,1,1
803,8.030000000000001,84.11859178527439,-0.30720269657412486,1,1
804,8.040000000000001,84.1185921667439,-0.30688418501543835,1,1
805,8.05,84.11859178527394,-0.3065662384833006,1,1
806,8.06,84.11859216674344,-0.30624886545637664,1,1
807,8.07,84.11859178527348,-0.30593204523352996,1,1
808,8.08,84.11859216674299,-0.30561575802466334,1,1
809,8.09,84.11859178527303,-0.3053000299863521,1,1
810,8.1,84.11278619750425,-0.30497715547268056,1,1
811,8.110000000000001,84.11278581603429,-0.30466255290357064,1,1
812,8.120000000000001,84.1127861975038,-0.3043484893081496,1,1
813,8.13,84.11278581603383,-0.30403497626895437,1,1
814,8.14,84.11278619750334,-0.30372201967847134,1,1
815,8.15,84.11278581603338,-0.30340961846812803,1,1
816,8.16,84.11278619750288,-0.3030977567560305,1,1
817,8.17,84.11278581603293,-0.3027864376606579,1,1
818,8.18,84.11278619750243,-0.3024756512695883,1,1
819,8.190000000000001,84.11278581603247,-0.3021654003783752,1,1
820,8.200000000000001,84.11278619750198,-0.30185565732252606,1,1
821,8.21,84.11278581603202,-0.3015464335570166,1,1
822,8.22,84.11278619750152,-0.30123788892001385,1,1
823,8.23,84.11278581603156,-0.3009300092625064,1,1
824,8.24,84.11278619750107,-0.30062265434777663,1,1
825,8.25,84.1127858160311,-0.30031582855543903,1,1
826,8.26,84.11278619750061,-0.30000952509591966,1,1
827,8.27,84.11278581603065,-0.2997037927637121,1,1
828,8.280000000000001,84.11278619750016,-0.29939869853694195,1,1
829,8.290000000000001,84.1127858160302,-0.2990941106546964,1,1
830,8.3,84.1127861974997,-0.29879002927574666,1,1
831,8.31,84.11278581602974,-0.29848645816939273,1,1
832,8.32,84.11278619749925,-0.2981833871990077,1,1
833,8.33,84.11278581602929,-0.29788081539642036,1,1
834,8.34,84.10767908079958,-0.3993621351049518,1,1
835,8.35,84.10767869932963,-0.3989590469312988,1,1
836,8.360000000000001,84.10767908079913,-0.3985566236877286,1,1
837,8.370000000000001,84.10767869932917,-0.3981548744423766,1,1
838,8.38,84.10767908079868,-0.3977537879979061,1,1
839,8.39,84.10767869932872,-0.397353356328476,1,1
840,8.4,84.10767908079822,-0.3969535907824337,1,1
841,8.41,84.10767869932826,-0.39655450201467407,1,1
842,8.42,84.10767908079777,-0.39615608735639285,1,1
843,8.43,84.1076786993278,-0.39575834038223756,1,1
844,8.440000000000001,84.10767908079731,-0.3953612520496176,1,1
845,8.450000000000001,84.10767869932735,-0.3949648129568999,1,1
846,8.46,84.10767908079686,-0.3945690366686815,1,1
847,8.47,84.1076786993269,-0.3941739071637304,1,1
848,8.48,84.1076790807964,-0.39377942792214743,1,1
849,8.49,84.10767869932644,-0.3933855868984733,1,1
850,8.5,84.10767908079595,-0.3929923994183308,1,1
851,8.51,84.10767869932599,-0.3925998523091752,1,1
852,8.52,84.10767908079549,-0.3922079550978983,1,1
853,8.530000000000001,84.10767869932553,-0.3918167131028181,1,1
854,8.540000000000001,84.10767908079504,-0.39142611092850016,1,1
855,8.55,84.10767869932508,-0.39103615109679246,1,1
856,8.56,84.10767908079458,-0.3906468237023431,1,1
857,8.57,84.10767869932462,-0.39025812405542176,1,1
858,8.58,84.10767908079413,-0.3898700518062259,1,1
859,8.59,84.10767869932417,-0.38948261503440557,1,1
860,8.6,84.10532159788352,-0.4360170348593696,1,1
861,8.610000000000001,84.10532121641356,-0.43558494198003367,1,1
862,8.620000000000001,84.10532159788306,-0.4351535663410327,1,1
863,8.63,84.1053212164131,-0.43472289752877,1,1
864,8.64,84.10532159788261,-0.43429292099732036,1,1
865,8.65,84.10532121641265,-0.43386364462296356,1,1
866,8.66,84.10532159788215,-0.4334350703028478,1,1
867,8.67,84.1053212164122,-0.43300719748966954,1,1
868,8.68,84.1053215978817,-0.43258002912244603,1,1
869,8.690000000000001,84.10532121641174,-0.43215354361220165,1,1
870,8.700000000000001,84.10532159788124,-0.4317277427241848,1,1
871,8.71,84.10532121641128,-0.4313026292417151,1,1
872,8.72,84.10532159788079,-0.4308781930556022,1,1
873,8.73,84.10532121641083,-0.4304544276077767,1,1
874,8.74,84.10532159788033,-0.43003134943783,1,1
875,8.75,84.10532121641037,-0.42960906312501773,1,1
876,8.76,84.10532159787988,-0.4291876697055018,1,1
877,8.77,84.10532121640992,-0.42876695308049884,1,1
878,8.780000000000001,84.10532159787942,-0.42834690387422864,1,1
879,8.790000000000001,84.10532121640946,-0.4279275080365294,1,1
880,8.8,84.10532159787897,-0.42750876978427726,1,1
881,8.81,84.10532121640901,-0.42709069755711004,1,1
882,8.82,84.10532159787851,-0.42667328662294307,1,1
883,8.83,84.10532121640856,-0.42625653146948456,1,1
884,8.84,84.10532159787806,-0.4258404326810633,1,1
885,8.85,84.1053212164081,-0.42542498582943916,1,1
